Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298338	SAMN14571033	human oral	human oral	saliva	saliva
MGYG000299041	SAMEA9921408	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298964	SAMEA8395225	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298177	SAMEA9921399	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298449	SAMEA8395248	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298028	SAMEA8395227	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298267	SAMEA10110169	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298963	SAMEA8395138	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298392	SAMEA8395260	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298054	SAMEA8395222	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298085	SAMEA8395115	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298896	SAMEA8395296	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299153	SAMEA10110210	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298404	SAMEA8395181	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298065	SAMN14570857	human oral	human oral	saliva	saliva
MGYG000298478	SAMEA8395258	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298952	SAMEA10110170	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298190	SAMEA8395280	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298256	SAMEA8395271	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299128	SAMEA8395235	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298309	SAMEA8395236	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298146	SAMEA8391139	human-associated habitat	human oral cavity	subgingival plaque	Human Oral Subgingival Plaque
MGYG000298197	SAMEA10110202	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299070	SAMEA10110221	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298714	SAMN14571027	human oral	human oral	saliva	saliva
MGYG000298375	SAMEA9943387	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298403	SAMN14570589	human oral	human oral	saliva	saliva
MGYG000298929	SAMN14570734	human oral	human oral	saliva	saliva
MGYG000299126	SAMEA8395130	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299231	SAMEA9921436	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298471	SAMEA8395281	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298803	SAMEA8395157	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298148	SAMN14570640	human oral	human oral	saliva	saliva
MGYG000298927	SAMEA9921378	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298555	SAMEA8395155	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298134	SAMEA10110205	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298642	SAMEA9921405	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298584	SAMEA8395147	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298133	SAMN14570606	human oral	human oral	saliva	saliva
MGYG000298645	SAMEA10220441	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298476	SAMEA10110244	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299236	SAMEA9921425	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299079	SAMEA8395175	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298728	SAMN14570855	human oral	human oral	saliva	saliva
MGYG000299168	SAMEA8395197	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298211	SAMEA8395261	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298670	SAMN14570671	human oral	human oral	saliva	saliva
